Movie,Year,IMDb,Rating,Runtime,Genre
Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,PG-13,134,"Adventure, Family, Fantasy"
Halloween,2018,6.5,R,106,"Crime, Horror, Thriller"
1917,2019,8.2,R,119,"Action, Drama, War"
The Secret Life of Pets 2,2019,6.4,PG,86,"Animation, Adventure, Comedy"
Star Trek Beyond,2016,7.0,PG-13,122,"Action, Adventure, Sci-Fi"
The Firm,1993,6.8,R,154,"Drama, Mystery, Thriller"
The Longest Yard,2005,6.4,PG-13,113,"Comedy, Crime, Sport"
X-Men,2000,7.3,PG-13,104,"Action, Adventure, Sci-Fi"
Scary Movie,2000,6.2,R,88,Comedy
What Lies Beneath,2000,6.6,PG-13,130,"Drama, Horror, Mystery"
X-Men: Apocalypse,2016,6.9,PG-13,144,"Action, Adventure, Sci-Fi"
Snow White and the Huntsman,2012,6.1,PG-13,127,"Action, Adventure, Drama"
The Mummy,1999,7.1,PG-13,124,"Action, Adventure, Fantasy"
San Andreas,2015,6.1,PG-13,114,"Action, Adventure, Thriller"
Fast & Furious,2009,6.5,PG-13,107,"Action, Crime, Thriller"
Over the Hedge,2006,6.7,PG,83,"Animation, Adventure, Comedy"
Fantastic Four,2005,5.7,PG-13,106,"Action, Adventure, Fantasy"
Mad Max: Fury Road,2015,8.1,R,120,"Action, Adventure, Sci-Fi"
Jerry Maguire,1996,7.3,R,139,"Comedy, Drama, Romance"
Trolls,2016,6.4,PG,92,"Animation, Adventure, Comedy"
Scooby-Doo,2002,5.2,PG,89,"Adventure, Comedy, Family"
Cars 3,2017,6.7,G,102,"Animation, Adventure, Comedy"
Sex and the City,2008,5.7,R,145,"Comedy, Drama, Romance"
G.I. Joe: The Rise of Cobra,2009,5.7,PG-13,118,"Action, Adventure, Sci-Fi"
Runaway Bride,1999,5.6,PG,116,"Comedy, Romance"
La La Land,2016,8.0,PG-13,128,"Comedy, Drama, Music"
Divergent,2014,6.6,PG-13,139,"Action, Adventure, Mystery"
We're the Millers,2013,7.0,R,110,"Comedy, Crime"
Terminator 3: Rise of the Machines,2003,6.3,R,109,"Action, Sci-Fi"
Daddy's Home,2015,6.1,PG-13,96,"Comedy, Family"
Neighbors,2014,6.3,R,97,Comedy
American Hustle,2013,7.2,R,138,"Crime, Drama"
Puss in Boots,2011,6.6,PG,90,"Animation, Adventure, Comedy"
Sonic the Hedgehog,2020,6.5,PG,99,"Action, Adventure, Comedy"
Les Misérables,2012,7.5,PG-13,158,"Drama, Musical, Romance"
Knocked Up,2007,6.9,R,129,"Comedy, Romance"
As Good as It Gets,1997,7.7,PG-13,139,"Comedy, Drama, Romance"
Megamind,2010,7.3,PG,95,"Animation, Action, Comedy"
